id,id2,state,population,employed,unemployed,empl_civlab,empl_femaletot,empl_femalework,empl_children
0400000US01,1,Alabama,3846845,2242401,207097,2229422,2008388,1066407,337782
0400000US02,2,Alaska,565212,399077,31285,382393,267689,175811,63679
0400000US04,4,Arizona,5207123,3106324,275712,3089118,2639742,1440426,502325
0400000US05,5,Arkansas,2328384,1365791,104943,1361024,1198829,639171,218936
0400000US06,6,California,30312429,19269449,1891081,19137441,15365586,8804820,2908143
0400000US08,8,Colorado,4168824,2852439,195578,2820014,2088111,1312537,394562
0400000US09,9,Connecticut,2906229,1962170,172292,1953709,1505796,946961,225910
0400000US10,10,Delaware,744949,473007,36223,470039,388936,231452,64207
0400000US11,11,District of Columbia,546805,377072,35811,373626,290916,193028,45172
0400000US12,12,Florida,16077778,9510681,915976,9457267,8301024,4548140,1249831
0400000US13,13,Georgia,7792052,4906258,468932,4857206,4036710,2341749,773364
0400000US15,15,Hawaii,1130491,736939,42288,695572,562485,335025,103985
0400000US16,16,Idaho,1232564,774526,55312,771173,619001,352522,135685
0400000US17,17,Illinois,10201787,6712162,608516,6694742,5248245,3190169,935386
0400000US18,18,Indiana,5160786,3300531,258739,3297501,2646269,1561385,488702
0400000US19,19,Iowa,2447401,1656968,81735,1655245,1243285,787013,231180
0400000US20,20,Kansas,2247842,1507080,88454,1489651,1137752,702767,235069
0400000US21,21,Kentucky,3493098,2080437,174308,2065689,1791679,984377,314649
0400000US22,22,Louisiana,3634163,2208869,178150,2194199,1878391,1054418,358521
0400000US23,23,Maine,1098075,697913,47497,696184,566751,339823,76258
0400000US24,24,Maryland,4737405,3241222,238027,3214531,2473228,1591449,427387
0400000US25,25,Massachusetts,5479502,3700701,280164,3696139,2855334,1811178,428524
0400000US26,26,Michigan,7925988,4855005,477746,4851264,4074834,2329189,669288
0400000US27,27,Minnesota,4281141,2996985,167764,2994959,2170404,1437662,410714
0400000US28,28,Mississippi,2333154,1352993,138445,1342359,1216041,654997,225858
0400000US29,29,Missouri,4803676,3053938,226528,3034524,2474559,1470372,436814
0400000US30,30,Montana,814661,521330,32361,517807,406956,242771,72117
0400000US31,31,Nebraska,1454157,1020419,47602,1015736,737687,481573,151457
0400000US32,32,Nevada,2210559,1424596,148467,1415779,1103034,655542,209930
0400000US33,33,New Hampshire,1087512,742874,42733,741543,554626,353764,77658
0400000US34,34,New Jersey,7120154,4702508,413343,4695103,3687226,2234535,626663
0400000US35,35,New Mexico,1633310,973891,88924,964959,830630,457025,161215
0400000US36,36,New York,15921937,10107278,829141,10083719,8299123,4875721,1354770
0400000US37,37,North Carolina,7812594,4909108,453420,4826193,4055732,2346294,712777
0400000US38,38,North Dakota,575611,404820,11464,399180,281644,183765,56173
0400000US39,39,Ohio,9229397,5852224,477251,5843924,4766718,2813202,810462
0400000US40,40,Oklahoma,3003180,1854061,115978,1835519,1529303,854441,304891
0400000US41,41,Oregon,3177669,1976314,184016,1973823,1619262,933697,267599
0400000US42,42,Pennsylvania,10384811,6521759,514993,6516882,5364887,3127547,836208
0400000US44,44,Rhode Island,865174,569623,48418,566588,451064,278199,65061
0400000US45,45,South Carolina,3816548,2323906,217977,2293251,1982553,1118818,335913
0400000US46,46,South Dakota,657804,453990,20220,451073,329772,213403,69049
0400000US47,47,Tennessee,5174955,3172519,266297,3155039,2682893,1512166,462246
0400000US48,48,Texas,20241168,13101788,912068,13006330,10283420,5951284,2265969
0400000US49,49,Utah,2096916,1423700,81870,1419516,1051523,626621,301674
0400000US50,50,Vermont,519139,346162,18957,345689,266047,169145,35834
0400000US51,51,Virginia,6598956,4376786,276030,4266800,3384899,2075898,596284
0400000US53,53,Washington,5568640,3586261,277806,3537683,2805627,1648550,514350
0400000US54,54,West Virginia,1512183,815405,63341,814593,771906,379596,117864
0400000US55,55,Wisconsin,4583931,3079657,193763,3077153,2325371,1476928,404537
0400000US56,56,Wyoming,456640,311371,15002,308951,224405,141128,44931
0400000US72,72,Puerto Rico,2884153,1300388,235772,1299122,1529498,614727,230169
